tract,DIABETES_CrudePrev,OBESITY_CrudePrev,CHD_CrudePrev,percent_uninsured,percent_no_car,access_constraint,poverty_rate,median_income,percent_no_hs,tract_str,fast_food_density,grocery_density,fast_food_ratio,no_grocery,dist_to_fast_food_km,dist_to_grocery_km,dist_scaled,no_car_scaled,raw_label,median_age,snap_rate,pct_under_18,pct_65_plus,pct_working_age
37.09,9.3,34.3,5.2,5.0,2.489626556016597,0.1337276854323958,7.0,89063.0,1.2403100775193798,3709,0.0,0.0,0.0,1,1.327987663401177,1.1275650145305247,-0.2178397856924475,-0.613880907967824,Census Tract 37.09; Lancaster County; Nebraska!!Estimate,36.4,2.42,21.87,12.68,65.45
37.13,9.6,31.8,5.6,2.1,3.309692671394799,-0.0122833580584466,2.9,105729.0,4.249154997585707,3713,0.0,0.0,0.0,1,1.041029121487651,1.626328553204844,0.0250233680126062,-0.4908754909514395,Census Tract 37.13; Lancaster County; Nebraska!!Estimate,43.3,2.98,21.28,24.09,54.63
37.14,7.5,31.1,4.3,4.7,5.3097345132743365,-0.1133789273883941,1.3,141154.0,0.2634351949420442,3714,0.3233324165959939,0.0808331041489984,2.6666666666666665,0,1.142186933992324,2.7947832515894544,0.593979538636923,-0.1908801903321089,Census Tract 37.14; Lancaster County; Nebraska!!Estimate,35.4,0.0,28.34,15.01,56.65
37.15,10.6,33.1,6.3,1.9,4.101326899879373,0.0008019425720793,7.9,119327.0,1.9539427773900904,3715,0.0,0.0,0.0,1,1.6421926337195971,1.570512887192527,-0.0021549792858533,-0.3721347009429646,Census Tract 37.15; Lancaster County; Nebraska!!Estimate,46.9,4.28,27.15,22.8,50.05
37.16,9.2,33.7,5.0,2.6,2.9905561385099686,0.1255917342655972,1.9,110677.0,2.771511440541412,3716,1.355923595170329,0.451974531723443,2.4,0,1.1221107460229345,1.096185535756371,-0.2331194093733759,-0.5387442195533495,Census Tract 37.16; Lancaster County; Nebraska!!Estimate,37.1,1.1,28.86,14.16,56.98
37.18,10.9,31.1,6.9,0.2,2.953586497890296,-0.1727931682715233,2.5,124153.0,4.667562122229684,3718,0.0,0.0275234634741497,0.0,0,4.124469057089807,2.226911674657884,0.3174655768512788,-0.5442894627673939,Census Tract 37.18; Lancaster County; Nebraska!!Estimate,50.8,2.06,21.39,22.62,55.99
37.19,8.1,31.6,4.6,2.2,5.05050505050505,-0.0467841329661143,4.7,96941.0,4.892367906066536,3719,0.2205999870883377,0.1102999935441688,1.7777777777777777,0,1.7672961112258745,1.993106922751012,0.2036189240862133,-0.2297631871697038,Census Tract 37.19; Lancaster County; Nebraska!!Estimate,42.0,3.23,25.43,15.89,58.68
37.21,9.2,31.3,5.5,4.1,0.9269988412514484,0.1473200422996364,4.9,89103.0,1.6985138004246283,3721,0.6577749311204444,0.4385166207469629,1.2,0,1.256211887564556,1.2182718052727457,-0.1736718873719876,-0.8482664899247155,Census Tract 37.21; Lancaster County; Nebraska!!Estimate,43.1,2.1,17.71,22.48,59.81
37.22,12.4,32.2,9.2,4.2,12.83471837488458,-0.0343042598529355,8.6,55461.0,5.531609195402299,3722,0.0,0.0,0.0,1,1.414996525236985,1.499817969492625,-0.0365784872855598,0.9378260939313898,Census Tract 37.22; Lancaster County; Nebraska!!Estimate,61.7,3.6,11.48,47.33,41.19
37.23,9.8,32.0,5.9,4.0,0.0,0.385480773106851,4.3,109764.0,1.3181332383327395,3723,0.6653391857878953,0.6653391857878953,0.8571428571428571,0,0.8281134091788119,0.7731096153064931,-0.3904349122972074,-0.987311229005604,Census Tract 37.23; Lancaster County; Nebraska!!Estimate,43.0,0.86,19.36,20.57,60.07
